"","Ambystoma altamirani","Ambystoma mexicanum","Ambystoma rivulare","Andrias japonicus","Aquiloeurycea cafetalera","Batrachoseps attenuatus","Batrachuperus tibetanus","Bolitoglossa franklini","Bolitoglossa lincolni","Chiropterotriton nubilus","Cryptobranchus alleganiensis","Cynops pyrrhogaster","Desmognathus monticola","Echinotriton andersoni","Ensatina eschscholtzii","Eurycea bislineata","Ichthyosaura alpestris","Lissotriton boscai","Lissotriton helveticus","Lissotriton vulgaris","Notophthalmus viridescens","Parvimolge townsendi","Plethodon cinereus","Plethodon glutinosus","Pseudoeurycea altamontana","Aquiloeurycea cephalica","Pseudoeurycea gadovii","Pseudoeurycea granitum","Pseudoeurycea leprosa","Pseudoeurycea longicauda","Pseudoeurycea lynchi","Pseudoeurycea melanomolga","Pseudoeurycea nigromaculata","Pseudoeurycea rex","Pseudoeurycea robertsi","Pseudoeurycea sp","Salamandra salamandra","Taricha granulosa","Taricha torosa","Triturus cristatus","Triturus marmoratus"
"Ambystoma altamirani",0,0.56713761143942,0.361635790638255,0.331602504299666,0.244774579741396,0.36740026005906,0.664318551141956,0.536942561295912,0.645274716828868,0.165756030859413,0.347906506311082,0.22347330963794,0.508315679777332,0.535585084000833,0.373627946378116,0.462056948966023,0.435495925804707,0.390101155305147,0.422527586878121,0.3318578621881,0.446487123808102,0.258503486305873,0.399595369554061,0.384822130378559,0.638826893768587,0.442887931793699,0.613449485125988,0.283738878765141,0.629397020279139,0.489558140333492,0.265505166693157,0.685579654372394,0.263171519004718,0.462822807766233,0.546562048317159,0.508022069958804,0.379470322000826,0.292079370081065,0.372061049654486,0.37660621676081,0.352542184979835
"Ambystoma mexicanum",0.56713761143942,0,0.665005207558399,0.371040437377071,0.606227814881483,0.526861323887705,0.71406302492777,0.638719956912996,0.622624588590851,0.6723599766146,0.471270386061031,0.464718972602991,0.720246562351826,0.449498179350309,0.517812933792618,0.686433614054793,0.447710223693732,0.45428189784782,0.367894722382483,0.368899055383461,0.668869665196357,0.656657670238889,0.626281580960035,0.54774350190696,0.556185437137818,0.646762811656429,0.592359956120174,0.549977709254375,0.611363451122193,0.626381606479088,0.644601080893542,0.638046326564595,0.617183299500741,0.587869615685084,0.551568762604989,0.583012537784979,0.467088285087709,0.467096783366536,0.567252521824968,0.360056403789373,0.537661973937771
"Ambystoma rivulare",0.361635790638255,0.665005207558399,0,0.298028955215949,0.157306388808416,0.315375071854229,0.598517456995428,0.465155366073625,0.495804067199453,0.197224047911743,0.577102710690903,0.287360394521456,0.319757189865573,0.526772157779844,0.31805422872807,0.283653057181266,0.314018952210825,0.328558570917956,0.321786445022372,0.294978707310428,0.261629628544979,0.169510484509637,0.16308774202941,0.313309951876384,0.57184056507021,0.377297440657738,0.568366645667488,0.207726427040372,0.568264691664528,0.453216220018288,0.153334009011986,0.64095597619624,0.232640955774471,0.374951094881857,0.474859981933153,0.470223659026505,0.336734467425595,0.348468952632949,0.244851845411181,0.301510158833557,0.302710826130997
"Andrias japonicus",0.331602504299666,0.371040437377071,0.298028955215949,0,0.310116358473555,0.309166505158972,0.635932412516709,0.493333478218349,0.589737236692027,0.329197461663716,0.489450886888088,0.197242000554058,0.387789900318206,0.349878245344612,0.308923019475268,0.337739986361616,0.158191680391669,0.300858230122671,0.132666867257413,0.0695131298292905,0.322739907446379,0.32340236551386,0.272984058611247,0.33990223492004,0.623280428660031,0.423477624362021,0.597674255237519,0.315632110419526,0.594273355407966,0.463236406371813,0.310144825623907,0.673117957253462,0.376193262559559,0.434256608180875,0.519869290416622,0.463613101972971,0.280645025967161,0.288379300065549,0.25947473533932,0.101229337925979,0.278153377636771
"Aquiloeurycea cafetalera",0.244774579741396,0.606227814881483,0.157306388808416,0.310116358473555,0,0.267763167449811,0.596729337742865,0.459101743297483,0.506000836198208,0.186267473095059,0.454836858459009,0.251319185375775,0.402562763393544,0.520378036082485,0.28314477401386,0.352160397766519,0.354870974222232,0.294817297202598,0.383096209761611,0.273285143915335,0.348267860705251,0.173579875733778,0.22087564937362,0.258225330493592,0.553275683368656,0.364613317538931,0.549590121663937,0.157800802556787,0.554378872767059,0.371974783546888,0.125561324302168,0.606675690035268,0.118512868906498,0.335602704502576,0.414230923287115,0.437763331465656,0.281284882999739,0.307200180402345,0.208576975720896,0.305334131805055,0.269918653344739
"Batrachoseps attenuatus",0.36740026005906,0.526861323887705,0.315375071854229,0.309166505158972,0.267763167449811,0,0.545354994642033,0.400569874851013,0.455719998632806,0.417513451777139,0.599054993612319,0.294579667101623,0.443805670169467,0.371470334658648,0.0540549087446817,0.398635073878659,0.347000609966694,0.256605132251887,0.358950714842853,0.305312553657314,0.439726796869213,0.401026691334831,0.276908865834271,0.189676534265075,0.485949922590708,0.259010609821106,0.430218971784663,0.172303061520136,0.501272113847426,0.357799904222204,0.302982010756547,0.500428845502765,0.245476659882981,0.276524859276939,0.30929789326994,0.385912619151512,0.140195124754247,0.340186214441399,0.0836337491109956,0.349745608341534,0.215308105855615
"Batrachuperus tibetanus",0.664318551141956,0.71406302492777,0.598517456995428,0.635932412516709,0.596729337742865,0.545354994642033,0,0.608176571655139,0.509919126287413,0.685929856562474,0.745666003822715,0.622933915174702,0.713201455799637,0.671352901350113,0.529622534339583,0.684107416785259,0.645860968442663,0.546343865626747,0.670971519656479,0.632280790036483,0.691476144789258,0.690803746368932,0.602630678415604,0.528283515507555,0.671095533094229,0.609507605679448,0.646869495248244,0.541444516896168,0.639464222642842,0.576385950063479,0.651114054263937,0.718285768585094,0.562674854998294,0.580723478127182,0.579102174646801,0.567908417821869,0.540213801325021,0.637937479972941,0.562987036234104,0.666110250148399,0.582752499543164
"Bolitoglossa franklini",0.536942561295912,0.638719956912996,0.465155366073625,0.493333478218349,0.459101743297483,0.400569874851013,0.608176571655139,0,0.433260456003861,0.482497152465151,0.644953884916639,0.44294523075458,0.514727633193819,0.519677574159114,0.418421740013737,0.486075122482308,0.491478856414749,0.373792971794913,0.542610682515436,0.462153736528013,0.509884495779653,0.484536337442962,0.417681673021563,0.317842494047939,0.378799524841031,0.307844253239144,0.411372950819672,0.446587807097361,0.245042222307134,0.301583605030275,0.457714751835352,0.481483476527781,0.398420674802584,0.230992954284778,0.333733781835656,0.144810001062436,0.4059413311001,0.468034937751827,0.405922522579224,0.496489783485086,0.389020997497707
"Bolitoglossa lincolni",0.645274716828868,0.622624588590851,0.495804067199453,0.589737236692027,0.506000836198208,0.455719998632806,0.509919126287413,0.433260456003861,0,0.60465353607511,0.627973207458139,0.564395785684826,0.64004810212451,0.653119248665538,0.438509593874724,0.610772172646148,0.60864336095002,0.46182136066126,0.63832639525859,0.555773465648342,0.626021347975262,0.605278378229921,0.511912520049262,0.394118191256437,0.478422535211268,0.512154791908362,0.478296562339661,0.436265281319258,0.511611515288955,0.503817029825375,0.568396218676274,0.553847153344739,0.43527090819418,0.384493051379028,0.398127735710406,0.40426526548052,0.465010978287387,0.580251606429632,0.462928022275581,0.615273141577885,0.520323414105354
"Chiropterotriton nubilus",0.165756030859413,0.6723599766146,0.197224047911743,0.329197461663716,0.186267473095059,0.417513451777139,0.685929856562474,0.482497152465151,0.60465353607511,0,0.445103532547619,0.295415683962264,0.372620647495724,0.55394912458798,0.424016625326,0.33531016486775,0.342935157358767,0.412315161539816,0.372175064716152,0.318649800626381,0.313412995766592,0.121154242635246,0.263361618199681,0.393842130528836,0.593103724148966,0.403771328932619,0.582717592815203,0.307789123049407,0.581316302855986,0.454873520941046,0.132230873343127,0.648706444062551,0.260670688929423,0.442972087330727,0.525306775742486,0.485611936021207,0.425954669468894,0.368605869733398,0.349710843680906,0.333504922716011,0.352733055826516
