,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp1,0.164021164,0.003787879,0.14673913,0.029411765,0.301886792,0.545138889,0,1.166666667,0,0.416666667,0.080188679,1.53125,0,0.045454545,0.847222222,0.006944444,0.022849462,0.619598765,0,0.025641026,0.043333333,0.21031746,1.550154321,0.911805556,1.385416667,0.732142857,0.619047619,0.138888889,0.389705882,1.444444444,0.591269841,0.6,1,2.118421053,1.131944444,2.074074074,0.782407407,0.201388889,1.048850575,0.009027778,1.211805556
Bacteria;Acidobacteria;Acidobacteria_Gp10,0.041005291,0,0,0.004901961,0.080188679,0.104861111,0,0.027777778,0,0.03125,0.012578616,0.009114583,0.003787879,0.001893939,0.083333333,0.03125,0.008064516,0.045524691,0,0.016025641,0.016666667,0.041666667,0.047839506,0.232638889,0,0.011904762,0.06547619,0.069444444,0.090686275,0.013888889,0.013888889,0.025,0,0.028508772,0.006944444,0,0.088734568,0.033179012,0.074712644,0.004166667,0.111111111
Bacteria;Acidobacteria;Acidobacteria_Gp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0.00877193,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0.037037037,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp16,0.023148148,0,0.005434783,0,0.003144654,0.209027778,0.072916667,0,0,0.005208333,0,0.005208333,0,0.013257576,0.131578947,0.03125,0.048387097,0.009259259,0.017857143,0.056089744,0.065,0.005952381,0.013117284,0.066666667,0,0,0.029761905,0.013888889,0.007352941,0,0.003968254,0,0.041666667,0.039473684,0,0,0.146990741,0.025462963,0.103448276,0.004861111,0.011574074
Bacteria;Acidobacteria;Acidobacteria_Gp17,0.01984127,0,0.003623188,0.017156863,0.017295597,0.10625,0,0,0,0,0.040880503,0.016927083,0.007575758,0,0.046052632,0.010416667,0.018817204,0,0,0.022435897,0.01,0.01984127,0.009259259,0.120138889,0,0.017857143,0,0.180555556,0.009803922,0,0,0,0,0.054824561,0,0,0.144290123,0.002314815,0.048850575,0.002777778,0.005787037
Bacteria;Acidobacteria;Acidobacteria_Gp18,0,0,0,0,0,0,0,0,0,0,0.019654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp2,0.001984127,0,0.007246377,0,0.025943396,0.060416667,0,0.208333333,0,0.026041667,0,0,0,0.005681818,0.006578947,0,0,0,0,0,0,0,0.022376543,0.138194444,0.005208333,0.053571429,0.005952381,0,0.007352941,0.069444444,0.027777778,0.016666667,0,0.99122807,0.041666667,1.226851852,0.025848765,0,0,0.000694444,0
