,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp10;Gp10,0.041005291,0,0,0.004901961,0.080188679,0.104861111,0,0.027777778,0,0.03125,0.012578616,0.009114583,0.003787879,0.001893939,0.083333333,0.03125,0.008064516,0.045524691,0,0.016025641,0.016666667,0.041666667,0.047839506,0.232638889,0,0.011904762,0.06547619,0.069444444,0.090686275,0.013888889,0.013888889,0.025,0,0.028508772,0.006944444,0,0.088734568,0.033179012,0.074712644,0.004166667,0.111111111
Bacteria;Acidobacteria;Acidobacteria_Gp11;Gp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0.00877193,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp12;Gp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp13;Gp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0,0.037037037,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp15;Gp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16,0.023148148,0,0.005434783,0,0.003144654,0.209027778,0.072916667,0,0,0.005208333,0,0.005208333,0,0.013257576,0.131578947,0.03125,0.048387097,0.009259259,0.017857143,0.056089744,0.065,0.005952381,0.013117284,0.066666667,0,0,0.029761905,0.013888889,0.007352941,0,0.003968254,0,0.041666667,0.039473684,0,0,0.146990741,0.025462963,0.103448276,0.004861111,0.011574074
Bacteria;Acidobacteria;Acidobacteria_Gp17;Gp17,0.01984127,0,0.003623188,0.017156863,0.017295597,0.10625,0,0,0,0,0.040880503,0.016927083,0.007575758,0,0.046052632,0.010416667,0.018817204,0,0,0.022435897,0.01,0.01984127,0.009259259,0.120138889,0,0.017857143,0,0.180555556,0.009803922,0,0,0,0,0.054824561,0,0,0.144290123,0.002314815,0.048850575,0.002777778,0.005787037
Bacteria;Acidobacteria;Acidobacteria_Gp18;Gp18,0,0,0,0,0,0,0,0,0,0,0.019654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Acidicapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0,0,0.026960784,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Bryocella,0.056878307,0,0,0.024509804,0.136006289,0.284027778,0,0,0,0.166666667,0,0.002604167,0,0,0.48245614,0.003472222,0.002688172,0.364969136,0,0.004807692,0.028333333,0.071428571,0.826388889,0.370138889,0.130208333,0,0.017857143,0.013888889,0,1.013888889,0.152777778,0,0.591666667,0,0.430555556,0,0.383101852,0.086419753,0.527298851,0.002083333,0.548611111
Bacteria;Acidobacteria;Acidobacteria_Gp1;CandidatusKoribacter,0,0,0,0,0,0,0,0.319444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010964912,0,0.018518519,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0.005401235,0,0,0,0,0,0,0,0,0,0.05,0.157894737,0,0.060185185,0,0,0.004310345,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Gp1,0.017195767,0,0,0,0.011006289,0.009027778,0,0.138888889,0,0,0,0,0,0,0.007309942,0,0,0.040895062,0,0,0,0.011904762,0.027006173,0.025,0,0,0,0.055555556,0,0,0.025793651,0,0,0.309210526,0,0.462962963,0.023148148,0,0.021551724,0,0.271990741
Bacteria;Acidobacteria;Acidobacteria_Gp1;Granulicella,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161458333,0.220238095,0.125,0,0.102941176,0,0,0.108333333,0,0.412280702,0.027777778,0.347222222,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Telmatobacter,0,0,0,0,0,0,0,0.083333333,0,0,0.033805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100877193,0,0.083333333,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Terriglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015350877,0,0.013888889,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;__,0.071428571,0.003787879,0.132246377,0,0.145440252,0.2375,0,0.569444444,0,0.223958333,0.046383648,0.009114583,0,0.007575758,0.35380117,0.003472222,0.008064516,0.155864198,0,0.019230769,0.015,0.123015873,0.670524691,0.504166667,1.088541667,0.511904762,0.470238095,0.027777778,0.25245098,0.416666667,0.400793651,0.491666667,0.358333333,1.111842105,0.583333333,1.087962963,0.341820988,0.109567901,0.479885057,0.002777778,0.240740741
Bacteria;Acidobacteria;Acidobacteria_Gp1;unclassified_Acidobacteria_Gp1,0.018518519,0,0.014492754,0.004901961,0.009433962,0.014583333,0,0,0,0.026041667,0,1.51953125,0,0.037878788,0.003654971,0,0.012096774,0.054783951,0,0.001602564,0,0.003968254,0.020833333,0.0125,0,0,0.005952381,0.041666667,0.007352941,0.013888889,0.011904762,0,0,0,0.090277778,0,0.03433642,0.005401235,0.015804598,0.004166667,0.150462963
Bacteria;Acidobacteria;Acidobacteria_Gp21;Gp21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp22;Gp22,0.011243386,0,0,0.014705882,0.006289308,0.016666667,0,0,0,0,0,0.002604167,0,0,0.019005848,0,0.004032258,0,0,0.003205128,0.003333333,0,0.00462963,0.046527778,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0.024305556,0.006944444,0.014367816,0.000694444,0.002314815
Bacteria;Acidobacteria;Acidobacteria_Gp23;Gp23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp23;Thermoanaerobaculum,0.000661376,0,0,0,0,0,0,0,0,0,0.001572327,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp25;Gp25,0.001322751,0,0,0,0,0,0,0,0,0,0.000786164,0,0,0,0,0.003472222,0.001344086,0,0,0,0,0,0.00308642,0,0,0,0.005952381,0,0,0,0,0,0.016666667,0.004385965,0,0,0,0,0,0,0.002314815
Bacteria;Acidobacteria;Acidobacteria_Gp2;Gp2,0.001984127,0,0.007246377,0,0.025943396,0.060416667,0,0.208333333,0,0.026041667,0,0,0,0.005681818,0.006578947,0,0,0,0,0,0,0,0.022376543,0.138194444,0.005208333,0.053571429,0.005952381,0,0.007352941,0.069444444,0.027777778,0.016666667,0,0.99122807,0.041666667,1.226851852,0.025848765,0,0,0.000694444,0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Bryobacter,0,0,0,0,0,0,0,0,0,0,0.036163522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp3;CandidatusSolibacter,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684,0,0.134259259,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0.071428571,0.017857143,0,0.031862745,0.041666667,0,0.075,0,0.188596491,0.104166667,0.166666667,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Paludibaculum,0,0,0,0,0,0,0,0.027777778,0,0,0.073113208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp3;__,0,0,0.041666667,0,0,0,0,0.472222222,0.083333333,0,0.106132075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078125,0.119047619,0.101190476,0,0.036764706,0,0,0.283333333,0,0.471491228,0,0.662037037,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Aridibacter,0,0,0,0,0.001572327,0,0,0,0.020833333,0,0.185534591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036458333,0.023809524,0.023809524,0,0.012254902,0,0,0.016666667,0,0.046052632,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Blastocatella,0.005291005,0,0,0.004901961,0.060534591,0.022916667,0,0.013888889,0,0,0.002358491,0.01171875,0,0,0.046783626,0,0,0,0,0.02724359,0,0.051587302,0.007716049,0,0,0,0,0.152777778,0.029411765,0,0.057539683,0.35,0.175,0.010964912,0.034722222,0.009259259,0.097222222,0.011574074,0.022988506,0.000694444,0.012731481
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,0,0,0.007246377,0,0,0,0,0,0.135416667,0,0.028301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.011904762,0.06547619,0,0.019607843,0,0,0,0,0.043859649,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Pyrinomonas,0,0,0,0.004901961,0.017295597,0.004166667,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0.003968254,0,0.019444444,0,0,0,0.041666667,0,0,0.015873016,0,0.016666667,0,0.020833333,0,0,0.000771605,0.001436782,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp4;__,0.016534392,0.001893939,0.008152174,0.017156863,0.09827044,0.054861111,0,0.041666667,0.09375,0,0.014937107,0.006510417,0,0.005681818,0.035087719,0,0.005376344,0.00462963,0,0.014423077,0,0.01984127,0,0.01875,0,0,0.017857143,0.208333333,0.00245098,0,0.051587302,0.216666667,0.133333333,0.006578947,0.048611111,0,0.065200617,0.035493827,0.051724138,0.016666667,0
Bacteria;Acidobacteria;Acidobacteria_Gp4;unclassified_Acidobacteria_Gp4,0.051587302,0.001893939,0,0,0.047955975,0.127083333,0,0,0,0,0,0,0,0.049242424,0.053362573,0,0.024193548,0.017746914,0.017857143,0.028846154,0,0.035714286,0,0.09375,0,0,0.154761905,0.569444444,0.375,0,0.01984127,0.3,0.108333333,0.002192982,0.006944444,0,0.133873457,0.033179012,0.054597701,0.002777778,0.033564815
Bacteria;Acidobacteria;Acidobacteria_Gp5;Gp5,0.010582011,0,0,0.00245098,0.004716981,0.059722222,0,0.013888889,0,0,0.001572327,0,0.011363636,0,0.020467836,0.0625,0.004032258,0.000771605,0,0.003205128,0.028333333,0.007936508,0.050925926,0.11875,0,0,0.011904762,0.083333333,0.019607843,0.013888889,0,0,0,0.024122807,0.006944444,0.041666667,0.030478395,0.00462963,0.021551724,0.002777778,0.001157407
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,0.162037037,0,0.017210145,0.022058824,0.14072327,0.50625,0,0.083333333,0.4375,0.0625,0.01572327,0.032552083,0,0.007575758,0.245614035,0,0.068548387,0.040895062,0.071428571,0.133012821,0,0.107142857,0.019290123,0.527083333,0,0,0.297619048,0.708333333,0.110294118,0.111111111,0.093253968,0.025,0.183333333,0.390350877,0,0.101851852,0.559027778,0.087191358,0.29454023,0.023611111,0.135416667
Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,0.011904762,0,0,0.00245098,0.002358491,0.047222222,0.03125,0,0.072916667,0,0,0,0.022727273,0.001893939,0.009502924,0.027777778,0.008064516,0.00154321,0,0.022435897,0.011666667,0.001984127,0.020833333,0.043055556,0.015625,0,0.029761905,0.041666667,0.102941176,0,0,0.016666667,0.016666667,0.043859649,0,0.00462963,0.064814815,0.00462963,0.011494253,0.002777778,0.011574074
Bacteria;Acidobacteria;Acidobacteria_Gp9;Gp9,0,0,0,0,0,0.002083333,0,0,0,0,0,0,0,0,0.000730994,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0
Bacteria;Acidobacteria;Holophagae;Holophagales,0.128306878,0.001893939,0.003623188,0.004901961,0.008647799,0.004166667,0,0,0,0.026041667,0.031446541,0.032552083,0.037878788,0.007575758,0.002192982,0.038194444,0.002688172,0.009259259,0.053571429,0.009615385,0.008333333,0.009920635,0.019290123,0.007638889,0,0,0,0.013888889,0,0,0,0,0.233333333,0.00877193,0,0.060185185,0.014660494,0.18287037,0,0.034027778,0.015046296
Bacteria;Acidobacteria;__;__,0.05952381,0,0.052536232,0,0.017295597,0.048611111,0,0.041666667,0.458333333,0.005208333,0.186320755,0.005208333,0.003787879,0.001893939,0.030701754,0,0.00672043,0.020833333,0,0.016025641,0.005,0.025793651,0.010030864,0.063888889,0,0.035714286,0.113095238,0.041666667,0.034313725,0,0.009920635,0.033333333,0.1,0.129385965,0,0,0.137731481,0.00462963,0.060344828,0.010416667,0.045138889
