,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp1,25,21,43,14,15,9,4,0,4,1,51,19,11,20,13,10,26,23,7,20,15,11,29,22,0,1,0,0,4,1,4,1,1,2,1,0,23,39,4,49,7
Bacteria;Acidobacteria;Acidobacteria_Gp10,39,22,46,16,30,22,4,2,4,4,47,29,10,21,32,7,28,39,7,23,20,15,38,44,8,6,3,2,14,2,17,4,5,15,5,9,34,46,19,57,21
Bacteria;Acidobacteria;Acidobacteria_Gp11,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,16,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp12,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp13,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,6,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp15,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp16,43,22,45,17,50,20,2,3,4,7,53,30,11,18,27,8,23,50,6,19,14,19,48,47,8,7,6,2,16,3,19,5,3,15,6,9,28,43,14,54,33
Bacteria;Acidobacteria;Acidobacteria_Gp17,46,22,44,16,44,32,4,3,4,8,37,26,10,22,40,10,26,54,7,24,22,17,49,50,8,6,7,1,16,3,21,5,5,14,6,9,39,52,21,57,35
Bacteria;Acidobacteria;Acidobacteria_Gp18,60,22,46,17,53,60,4,3,4,8,43,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp2,59,22,43,17,47,58,4,0,4,6,53,32,11,20,53,12,31,54,7,26,25,21,46,47,7,5,6,3,14,2,18,4,5,8,3,0,54,54,29,59,36
Bacteria;Acidobacteria;Acidobacteria_Gp21,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp22,52,22,46,15,51,49,4,3,4,8,53,31,11,22,52,12,29,54,7,25,24,21,50,53,8,7,7,2,17,3,21,5,5,19,6,9,49,50,26,59,35
Bacteria;Acidobacteria;Acidobacteria_Gp23,59,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,30,54,6,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp25,59,22,46,17,53,60,4,3,4,8,52,32,11,22,57,11,30,54,7,26,25,21,50,60,8,7,6,3,17,3,21,5,4,18,6,9,60,54,29,60,35
Bacteria;Acidobacteria;Acidobacteria_Gp3,60,22,41,17,53,60,4,0,2,8,15,32,11,22,57,12,31,54,7,26,25,21,54,60,3,3,4,3,12,2,21,3,5,2,4,0,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4,32,20,44,13,18,22,4,1,1,8,12,28,11,14,12,12,22,46,6,16,25,8,51,47,4,4,3,0,13,3,10,2,0,12,2,8,24,29,11,51,31
Bacteria;Acidobacteria;Acidobacteria_Gp5,52,22,46,16,48,39,4,2,4,8,52,32,8,22,46,5,29,53,7,25,18,20,39,48,8,7,5,1,15,2,21,5,5,13,5,8,49,51,24,57,35
Bacteria;Acidobacteria;Acidobacteria_Gp6,20,22,43,13,23,16,4,2,1,2,46,23,11,19,16,12,20,42,3,14,25,11,51,32,8,7,6,0,16,2,11,4,1,4,6,4,21,37,10,44,18
