,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp10;Gp10;,39,22,46,16,30,22,4,2,4,4,47,29,10,21,32,7,28,39,7,23,20,15,38,44,8,6,3,2,14,2,17,4,5,15,5,9,34,46,19,57,21
Bacteria;Acidobacteria;Acidobacteria_Gp11;Gp11;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,16,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp12;Gp12;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp13;Gp13;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,6,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp15;Gp15;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16;,43,22,45,17,50,20,2,3,4,7,53,30,11,18,27,8,23,50,6,19,14,19,48,47,8,7,6,2,16,3,19,5,3,15,6,9,28,43,14,54,33
Bacteria;Acidobacteria;Acidobacteria_Gp17;Gp17;,46,22,44,16,44,32,4,3,4,8,37,26,10,22,40,10,26,54,7,24,22,17,49,50,8,6,7,1,16,3,21,5,5,14,6,9,39,52,21,57,35
Bacteria;Acidobacteria;Acidobacteria_Gp18;Gp18;,60,22,46,17,53,60,4,3,4,8,43,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Acidicapsa;,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,7,7,7,3,14,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Bryocella;,40,22,46,14,26,21,4,3,4,5,53,31,11,22,22,11,30,28,7,25,17,17,32,34,7,7,6,2,17,2,14,5,1,19,4,9,35,46,7,57,12
Bacteria;Acidobacteria;Acidobacteria_Gp1;CandidatusKoribacter;,60,22,46,17,53,60,4,1,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,17,6,8,60,54,29,60,36
