,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp1,57.14285714,4.545454545,6.52173913,17.64705882,71.69811321,85,0,100,0,87.5,3.773584906,40.625,0,9.090909091,77.19298246,16.66666667,16.12903226,57.40740741,0,23.07692308,40,47.61904762,46.2962963,63.33333333,100,85.71428571,100,100,76.47058824,66.66666667,80.95238095,80,80,89.47368421,83.33333333,100,64.81481481,27.77777778,86.20689655,18.33333333,80.55555556
Bacteria;Acidobacteria;Acidobacteria_Gp10,34.92063492,0,0,5.882352941,43.39622642,63.33333333,0,33.33333333,0,50,11.32075472,9.375,9.090909091,4.545454545,43.85964912,41.66666667,9.677419355,27.77777778,0,11.53846154,20,28.57142857,29.62962963,26.66666667,0,14.28571429,57.14285714,33.33333333,17.64705882,33.33333333,19.04761905,20,0,21.05263158,16.66666667,0,44.44444444,14.81481481,34.48275862,5,41.66666667
Bacteria;Acidobacteria;Acidobacteria_Gp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78947368,0,33.33333333,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp16,28.57142857,0,2.173913043,0,5.660377358,66.66666667,50,0,0,12.5,0,6.25,0,18.18181818,52.63157895,33.33333333,25.80645161,7.407407407,14.28571429,26.92307692,44,9.523809524,11.11111111,21.66666667,0,0,14.28571429,33.33333333,5.882352941,0,9.523809524,0,40,21.05263158,0,0,56.48148148,20.37037037,51.72413793,10,8.333333333
Bacteria;Acidobacteria;Acidobacteria_Gp17,23.80952381,0,4.347826087,5.882352941,16.98113208,46.66666667,0,0,0,0,30.18867925,18.75,9.090909091,0,29.8245614,16.66666667,16.12903226,0,0,7.692307692,12,19.04761905,9.259259259,16.66666667,0,14.28571429,0,66.66666667,5.882352941,0,0,0,0,26.31578947,0,0,38.88888889,3.703703704,27.5862069,5,2.777777778
Bacteria;Acidobacteria;Acidobacteria_Gp18,0,0,0,0,0,0,0,0,0,0,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp2,1.587301587,0,6.52173913,0,11.32075472,3.333333333,0,100,0,25,0,0,0,9.090909091,7.01754386,0,0,0,0,0,0,0,14.81481481,21.66666667,12.5,28.57142857,14.28571429,0,17.64705882,33.33333333,14.28571429,20,0,57.89473684,50,100,9.259259259,0,0,1.666666667,0
Bacteria;Acidobacteria;Acidobacteria_Gp21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp22,14.28571429,0,0,11.76470588,3.773584906,18.33333333,0,0,0,0,0,3.125,0,0,8.771929825,0,6.451612903,0,0,3.846153846,4,0,7.407407407,11.66666667,0,0,0,33.33333333,0,0,0,0,0,0,0,0,19.44444444,7.407407407,10.34482759,1.666666667,2.777777778
Bacteria;Acidobacteria;Acidobacteria_Gp23,1.587301587,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,0,3.225806452,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp25,1.587301587,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,8.333333333,3.225806452,0,0,0,0,0,7.407407407,0,0,0,14.28571429,0,0,0,0,0,20,5.263157895,0,0,0,0,0,0,2.777777778
Bacteria;Acidobacteria;Acidobacteria_Gp3,0,0,10.86956522,0,0,0,0,100,50,0,71.69811321,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,57.14285714,42.85714286,0,29.41176471,33.33333333,0,40,0,89.47368421,33.33333333,100,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp4,44.44444444,9.090909091,4.347826087,23.52941176,66.03773585,63.33333333,0,66.66666667,75,0,77.35849057,12.5,0,36.36363636,78.94736842,0,29.03225806,14.81481481,14.28571429,38.46153846,0,61.9047619,5.555555556,21.66666667,50,42.85714286,57.14285714,100,23.52941176,0,52.38095238,60,100,36.84210526,66.66666667,11.11111111,65.74074074,46.2962963,62.06896552,15,13.88888889
Bacteria;Acidobacteria;Acidobacteria_Gp5,12.6984127,0,0,5.882352941,9.433962264,35,0,33.33333333,0,0,1.886792453,0,27.27272727,0,19.29824561,58.33333333,6.451612903,1.851851852,0,3.846153846,28,4.761904762,27.77777778,20,0,0,28.57142857,66.66666667,11.76470588,33.33333333,0,0,0,31.57894737,16.66666667,11.11111111,22.22222222,5.555555556,17.24137931,5,2.777777778
Bacteria;Acidobacteria;Acidobacteria_Gp6,66.66666667,0,6.52173913,23.52941176,56.60377358,73.33333333,0,33.33333333,75,75,13.20754717,28.125,0,13.63636364,71.92982456,0,35.48387097,22.22222222,57.14285714,46.15384615,0,47.61904762,5.555555556,46.66666667,0,0,14.28571429,100,5.882352941,33.33333333,47.61904762,20,80,78.94736842,0,55.55555556,70.37037037,31.48148148,65.51724138,26.66666667,50
Bacteria;Acidobacteria;Acidobacteria_Gp7,17.46031746,0,0,5.882352941,5.660377358,26.66666667,25,0,25,0,0,0,36.36363636,4.545454545,15.78947368,33.33333333,9.677419355,1.851851852,0,11.53846154,20,4.761904762,20.37037037,11.66666667,25,0,14.28571429,33.33333333,11.76470588,0,0,20,20,21.05263158,0,11.11111111,25,5.555555556,13.79310345,3.333333333,13.88888889
Bacteria;Acidobacteria;Acidobacteria_Gp9,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,1.754385965,0,0,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448275862,0,0
Bacteria;Acidobacteria;Holophagae,53.96825397,4.545454545,2.173913043,5.882352941,7.547169811,5,0,0,0,37.5,32.0754717,15.625,27.27272727,13.63636364,1.754385965,25,3.225806452,7.407407407,28.57142857,11.53846154,12,14.28571429,22.22222222,3.333333333,0,0,0,33.33333333,0,0,0,0,40,15.78947368,0,11.11111111,11.11111111,38.88888889,0,38.33333333,8.333333333
Bacteria;Acidobacteria;__,33.33333333,0,6.52173913,0,18.86792453,28.33333333,0,33.33333333,75,12.5,67.9245283,3.125,9.090909091,4.545454545,22.80701754,0,6.451612903,14.81481481,0,11.53846154,8,23.80952381,5.555555556,18.33333333,0,28.57142857,42.85714286,33.33333333,17.64705882,0,9.523809524,20,40,57.89473684,0,0,33.33333333,5.555555556,37.93103448,13.33333333,27.77777778
Bacteria;Acidobacteria;unclassified_Acidobacteria,0,0,0,0,0,0,0,0,0,0,16.98113208,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57.14285714,57.14285714,0,29.41176471,33.33333333,0,40,0,0,16.66666667,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria,95.23809524,90.90909091,97.82608696,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
