,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp10;Gp10;,34.92063492,0,0,5.882352941,43.39622642,63.33333333,0,33.33333333,0,50,11.32075472,9.375,9.090909091,4.545454545,43.85964912,41.66666667,9.677419355,27.77777778,0,11.53846154,20,28.57142857,29.62962963,26.66666667,0,14.28571429,57.14285714,33.33333333,17.64705882,33.33333333,19.04761905,20,0,21.05263158,16.66666667,0,44.44444444,14.81481481,34.48275862,5,41.66666667
Bacteria;Acidobacteria;Acidobacteria_Gp11;Gp11;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882352941,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp12;Gp12;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp13;Gp13;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78947368,0,33.33333333,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp15;Gp15;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16;,28.57142857,0,2.173913043,0,5.660377358,66.66666667,50,0,0,12.5,0,6.25,0,18.18181818,52.63157895,33.33333333,25.80645161,7.407407407,14.28571429,26.92307692,44,9.523809524,11.11111111,21.66666667,0,0,14.28571429,33.33333333,5.882352941,0,9.523809524,0,40,21.05263158,0,0,56.48148148,20.37037037,51.72413793,10,8.333333333
Bacteria;Acidobacteria;Acidobacteria_Gp17;Gp17;,23.80952381,0,4.347826087,5.882352941,16.98113208,46.66666667,0,0,0,0,30.18867925,18.75,9.090909091,0,29.8245614,16.66666667,16.12903226,0,0,7.692307692,12,19.04761905,9.259259259,16.66666667,0,14.28571429,0,66.66666667,5.882352941,0,0,0,0,26.31578947,0,0,38.88888889,3.703703704,27.5862069,5,2.777777778
Bacteria;Acidobacteria;Acidobacteria_Gp18;Gp18;,0,0,0,0,0,0,0,0,0,0,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Acidicapsa;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,17.64705882,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria_Gp1;Bryocella;,31.74603175,0,0,17.64705882,50.94339623,65,0,0,0,37.5,0,3.125,0,0,61.40350877,8.333333333,3.225806452,48.14814815,0,3.846153846,32,19.04761905,40.74074074,43.33333333,12.5,0,14.28571429,33.33333333,0,33.33333333,33.33333333,0,80,0,33.33333333,0,44.44444444,14.81481481,75.86206897,5,66.66666667
Bacteria;Acidobacteria;Acidobacteria_Gp1;CandidatusKoribacter;,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,0,11.11111111,0,0,0,0,0
