"Taxa","core70","core80","core90"
"Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales",1,1,1
"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae",1,NA,NA
"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae",1,NA,NA
"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae",1,1,NA
"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae",1,1,1
"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae",1,1,NA
"Bacteria;Bacteroidetes;__;__;__",1,NA,NA
"Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae",1,NA,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae",1,NA,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;__",1,1,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae",1,NA,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae",1,NA,NA
"Bacteria;Proteobacteria;Alphaproteobacteria;__;__",1,1,1
"Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae",1,1,NA
"Bacteria;Proteobacteria;Betaproteobacteria;__;__",1,1,1
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae",1,1,NA
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae",1,1,1
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae",1,1,1
"Bacteria;Proteobacteria;Gammaproteobacteria;__;__",1,1,1
"Bacteria;Proteobacteria;__;__;__",1,1,1
"Bacteria;__;__;__;__",1,1,1
"Bacteria;unclassified_Bacteria;;__;__",1,1,1
